Index,"Gender",Year,Age,"Name","Movie"
 1,"Female",1928,22,"Janet Gaynor","Seventh Heaven, Street Angel and Sunrise: A Song of Two Humans"
 2,"Female",1929,37,"Mary Pickford","Coquette"
 3,"Female",1930,28,"Norma Shearer","The Divorcee"
 4,"Female",1931,63,"Marie Dressler","Min and Bill"
 5,"Female",1932,32,"Helen Hayes","The Sin of Madelon Claudet"
 6,"Female",1933,26,"Katharine Hepburn","Morning Glory"
 7,"Female",1934,31,"Claudette Colbert","It Happened One Night"
 8,"Female",1935,27,"Bette Davis","Dangerous"
 9,"Female",1936,27,"Luise Rainer","The Great Ziegfeld"
10,"Female",1937,28,"Luise Rainer","The Good Earth"
11,"Female",1938,30,"Bette Davis","Jezebel"
12,"Female",1939,26,"Vivien Leigh","Gone with the Wind"
13,"Female",1940,29,"Ginger Rogers","Kitty Foyle"
14,"Female",1941,24,"Joan Fontaine","Suspicion"
15,"Female",1942,38,"Greer Garson","Mrs. Miniver"
16,"Female",1943,25,"Jennifer Jones","The Song of Bernadette"
17,"Female",1944,29,"Ingrid Bergman","Gaslight"
18,"Female",1945,40,"Joan Crawford","Mildred Pierce"
19,"Female",1946,30,"Olivia de Havilland","To Each His Own"
20,"Female",1947,35,"Loretta Young","The Farmer's Daughter"
21,"Female",1948,32,"Jane Wyman","Johnny Belinda"
22,"Female",1949,33,"Olivia de Havilland","The Heiress"
23,"Female",1950,29,"Judy Holliday","Born Yesterday"
24,"Female",1951,38,"Vivien Leigh","A Streetcar Named Desire"
25,"Female",1952,54,"Shirley Booth","Come Back, Little Sheba"
26,"Female",1953,24,"Audrey Hepburn","Roman Holiday"
27,"Female",1954,25,"Grace Kelly","The Country Girl"
28,"Female",1955,48,"Anna Magnani","The Rose Tattoo"
29,"Female",1956,41,"Ingrid Bergman","Anastasia"
30,"Female",1957,28,"Joanne Woodward","The Three Faces of Eve"
31,"Female",1958,41,"Susan Hayward","I Want to Live!"
32,"Female",1959,39,"Simone Signoret","Room at the Top"
33,"Female",1960,29,"Elizabeth Taylor","BUtterfield 8"
34,"Female",1961,27,"Sophia Loren","Two Women"
35,"Female",1962,31,"Anne Bancroft","The Miracle Worker"
36,"Female",1963,31,"Patricia Neal","Hud"
37,"Female",1964,29,"Julie Andrews","Mary Poppins"
38,"Female",1965,25,"Julie Christie","Darling"
39,"Female",1966,35,"Elizabeth Taylor","Who's Afraid of Virginia Woolf?"
40,"Female",1967,60,"Katharine Hepburn","Guess Who's Coming to Dinner"
41,"Female",1968,61,"Katharine Hepburn","The Lion in Winter"
